"ccode" "year" "country" "accode" "polity" "years" "herf" "herftot" "herfopp" "oppvote" "frac" "pr" "system" "LJI" "post.sd" "vol" "contest" "colonial"
"1" 2 1975 "United States of America" "USA" 10 166 NA NA NA 57.0999984741211 NA "0" "0" 0.9691 0.0128 NA 1.60362069458559 "0. Never colonized by a Western overseas colonial power"
"2" 2 1976 "United States of America" "USA" 10 167 NA NA NA 57.0999984741211 NA "0" "0" 0.9692 0.013 NA 1.65404419236642 "0. Never colonized by a Western overseas colonial power"
"3" 2 1977 "United States of America" "USA" 10 168 1 NA 1 42.1500015258789 0.442353904247284 "0" "0" 0.9693 0.0135 NA 1.64010554073717 "0. Never colonized by a Western overseas colonial power"
"4" 2 1978 "United States of America" "USA" 10 169 1 NA 1 42.1500015258789 0.442353904247284 "0" "0" 0.9695 0.0136 NA 1.64322500758635 "0. Never colonized by a Western overseas colonial power"
"5" 2 1979 "United States of America" "USA" 10 170 1 NA 1 44.7000007629395 0.467334091663361 "0" "0" 0.9696 0.0134 NA 1.63905213659514 "0. Never colonized by a Western overseas colonial power"
"6" 2 1980 "United States of America" "USA" 10 171 1 NA 1 44.7000007629395 0.467334091663361 "0" "0" 0.9695 0.0139 NA 1.64812727627812 "0. Never colonized by a Western overseas colonial power"
"7" 2 1981 "United States of America" "USA" 10 172 1 NA 1 50.310001373291 0.49426344037056 "0" "0" 0.9698 0.0138 NA 1.65828825665829 "0. Never colonized by a Western overseas colonial power"
"8" 2 1982 "United States of America" "USA" 10 173 1 NA 1 50.310001373291 0.49426344037056 "0" "0" 0.97 0.014 NA 1.68785812792993 "0. Never colonized by a Western overseas colonial power"
"9" 2 1983 "United States of America" "USA" 10 174 1 NA 1 54.9900016784668 0.474135279655457 "0" "0" 0.9702 0.0139 NA 1.67762628199146 "0. Never colonized by a Western overseas colonial power"
"10" 2 1984 "United States of America" "USA" 10 175 1 NA 1 54.9900016784668 0.474135279655457 "0" "0" 0.971 0.0135 NA 1.60004156447182 "0. Never colonized by a Western overseas colonial power"
"11" 2 1985 "United States of America" "USA" 10 176 1 NA 1 51.9300003051758 0.474135279655457 "0" "0" 0.9713 0.0132 NA 1.63764890667792 "0. Never colonized by a Western overseas colonial power"
"12" 2 1986 "United States of America" "USA" 10 177 1 NA 1 51.9300003051758 0.474135279655457 "0" "0" 0.9715 0.0132 NA 1.63499890762694 "0. Never colonized by a Western overseas colonial power"
"13" 2 1987 "United States of America" "USA" 10 178 1 NA 1 54.1199989318848 0.483775645494461 "0" "0" 0.9718 0.013 NA 1.59975702009251 "0. Never colonized by a Western overseas colonial power"
"14" 2 1988 "United States of America" "USA" 10 179 1 NA 1 54.1199989318848 0.483775645494461 "0" "0" 0.972 0.0125 NA 1.67083832233397 "0. Never colonized by a Western overseas colonial power"
"15" 2 1989 "United States of America" "USA" 10 180 1 NA 1 53.2200012207031 0.483775645494461 "0" "0" 0.9723 0.0123 NA 1.73198248523508 "0. Never colonized by a Western overseas colonial power"
"16" 2 1990 "United States of America" "USA" 10 181 1 NA 1 53.2200012207031 0.483775645494461 "0" "0" 0.9724 0.0121 NA 1.84464821318503 "0. Never colonized by a Western overseas colonial power"
"17" 2 1991 "United States of America" "USA" 10 182 1 NA 0.992565155029297 52.5499992370605 0.476963847875595 "0" "0" 0.9725 0.0118 NA 1.79249998516134 "0. Never colonized by a Western overseas colonial power"
"18" 2 1992 "United States of America" "USA" 10 183 1 NA 0.992565155029297 52.5499992370605 0.476963847875595 "0" "0" 0.9728 0.012 NA 1.85516392482498 "0. Never colonized by a Western overseas colonial power"
"19" 2 1993 "United States of America" "USA" 10 184 1 NA 0.988166093826294 46.0400009155273 0.476963818073273 "0" "0" 0.9728 0.0119 NA 1.83476704958682 "0. Never colonized by a Western overseas colonial power"
"20" 2 1994 "United States of America" "USA" 10 185 1 NA 0.988166093826294 46.0400009155273 0.476963818073273 "0" "0" 0.972 0.0119 NA 1.81325214240821 "0. Never colonized by a Western overseas colonial power"
"21" 2 1995 "United States of America" "USA" 10 186 1 NA 0.991379499435425 52.2399978637695 0.501657903194427 "0" "0" 0.9718 0.0121 NA 1.80297204068807 "0. Never colonized by a Western overseas colonial power"
"22" 2 1996 "United States of America" "USA" 10 187 1 NA 0.991379499435425 52.2399978637695 0.501657903194427 "0" "0" 0.9713 0.012 NA 1.7608299086299 "0. Never colonized by a Western overseas colonial power"
"23" 2 1997 "United States of America" "USA" 10 188 1 NA 0.991111278533936 48.4200019836426 0.503066897392273 "0" "0" 0.9707 0.012 NA 1.76458473581277 "0. Never colonized by a Western overseas colonial power"
"24" 2 1998 "United States of America" "USA" 10 189 1 NA 0.991111278533936 48.4200019836426 0.503066897392273 "0" "0" 0.9702 0.0122 NA 1.7667876168212 "0. Never colonized by a Western overseas colonial power"
"25" 2 1999 "United States of America" "USA" 10 190 1 NA 0.991111278533936 48.5800018310547 0.503066897392273 "0" "0" 0.9691 0.0126 NA 1.78131030737092 "0. Never colonized by a Western overseas colonial power"
"26" 2 2000 "United States of America" "USA" 10 191 1 NA 0.991111278533936 48.5800018310547 0.503066897392273 "0" "0" 0.9684 0.0125 NA 1.7705446146256 "0. Never colonized by a Western overseas colonial power"
"27" 2 2001 "United States of America" "USA" 10 192 1 NA 0.981310069561005 47.6699981689453 0.505499720573425 "0" "0" 0.9677 0.0129 NA NA "0. Never colonized by a Western overseas colonial power"
"28" 2 2002 "United States of America" "USA" 10 193 1 NA 0.981310069561005 47.6699981689453 0.505499720573425 "0" "0" 0.9672 0.0132 NA NA "0. Never colonized by a Western overseas colonial power"
"29" 2 2003 "United States of America" "USA" 10 194 1 NA 0.990338385105133 45.5699996948242 0.50204873085022 "0" "0" 0.9663 0.014 NA NA "0. Never colonized by a Western overseas colonial power"
"30" 2 2004 "United States of America" "USA" 10 195 1 NA 0.990338385105133 45.5699996948242 0.50204873085022 "0" "0" 0.966 0.0149 NA NA "0. Never colonized by a Western overseas colonial power"
"31" 2 2005 "United States of America" "USA" 10 196 1 NA 0.990196287631989 47.1999969482422 0.501064658164978 "0" "0" 0.9655 0.0158 NA NA "0. Never colonized by a Western overseas colonial power"
"32" 2 2006 "United States of America" "USA" 10 197 1 NA 0.990196287631989 47.1999969482422 0.501064658164978 "0" "0" 0.9649 0.0168 NA NA "0. Never colonized by a Western overseas colonial power"
"33" 2 2007 "United States of America" "USA" 10 198 1 NA 1 0 0.49860692024231 "0" "0" 0.9645 0.0178 NA NA "0. Never colonized by a Western overseas colonial power"
"34" 2 2008 "United States of America" "USA" 10 199 1 NA 1 0 0.49860692024231 "0" "0" 0.9643 0.019 NA NA "0. Never colonized by a Western overseas colonial power"
"35" 2 2009 "United States of America" "USA" 10 200 1 NA 1 0 0.4846231341362 "0" "0" 0.9641 0.0202 NA NA "0. Never colonized by a Western overseas colonial power"
"36" 20 1975 "Canada" "CAN" 10 87 1 NA 0.631685018539429 55.939998626709 0.578846573829651 "0" "2" 0.9213 0.0493 NA 1.73440744043652 "0. Never colonized by a Western overseas colonial power"
"37" 20 1976 "Canada" "CAN" 10 88 1 NA 0.631685018539429 55.939998626709 0.578846573829651 "0" "2" 0.9268 0.046 NA 1.74069861295895 "0. Never colonized by a Western overseas colonial power"
"38" 20 1977 "Canada" "CAN" 10 89 1 NA 0.634080231189728 55.939998626709 0.584351301193237 "0" "2" 0.9316 0.0436 NA 1.73260761272999 "0. Never colonized by a Western overseas colonial power"
"39" 20 1978 "Canada" "CAN" 10 90 1 NA 0.634080231189728 55.939998626709 0.584351301193237 "0" "2" 0.9364 0.0404 NA 1.73012500020402 "0. Never colonized by a Western overseas colonial power"
"40" 20 1979 "Canada" "CAN" 10 91 1 NA 0.634080231189728 55.939998626709 0.584351301193237 "0" "2" 0.9411 0.0379 NA 1.74574734322567 "0. Never colonized by a Western overseas colonial power"
"41" 20 1980 "Canada" "CAN" 10 92 1 NA 0.636817991733551 62.5999984741211 0.599909126758575 "0" "2" 0.9453 0.0351 NA 1.72345472489427 "0. Never colonized by a Western overseas colonial power"
"42" 20 1981 "Canada" "CAN" 10 93 1 NA 0.614943742752075 54 0.590256333351135 "0" "2" 0.9489 0.0329 NA 1.73103366242177 "0. Never colonized by a Western overseas colonial power"
"43" 20 1982 "Canada" "CAN" 10 94 1 NA 0.614943742752075 54 0.590256333351135 "0" "2" 0.9523 0.0305 NA 1.75463574674098 "0. Never colonized by a Western overseas colonial power"
"44" 20 1983 "Canada" "CAN" 10 95 1 NA 0.614943742752075 54 0.590256333351135 "0" "2" 0.9563 0.0282 NA 1.74525303126646 "0. Never colonized by a Western overseas colonial power"
"45" 20 1984 "Canada" "CAN" 10 96 1 NA 0.614943742752075 54 0.590256333351135 "0" "2" 0.9598 0.0254 NA 1.67413021412064 "0. Never colonized by a Western overseas colonial power"
"46" 20 1985 "Canada" "CAN" 10 97 1 NA 0.496131718158722 47.2999992370605 0.410161286592484 "0" "2" 0.9628 0.0228 NA 1.71238851029024 "0. Never colonized by a Western overseas colonial power"
"47" 20 1986 "Canada" "CAN" 10 98 1 NA 0.496131718158722 47.2999992370605 0.410161286592484 "0" "2" 0.965 0.0207 NA 1.71221918160465 "0. Never colonized by a Western overseas colonial power"
"48" 20 1987 "Canada" "CAN" 10 99 1 NA 0.496131718158722 47.2999992370605 0.410161286592484 "0" "2" 0.9666 0.0198 NA 1.66927554440568 "0. Never colonized by a Western overseas colonial power"
"49" 20 1988 "Canada" "CAN" 10 100 1 NA 0.496131718158722 47.2999992370605 0.410161286592484 "0" "2" 0.9672 0.0189 NA 1.74974614399608 "0. Never colonized by a Western overseas colonial power"
"50" 20 1989 "Canada" "CAN" 10 101 1 NA 0.541819095611572 52.4599990844727 0.576225340366364 "0" "2" 0.9685 0.0182 NA 1.78202377169159 "0. Never colonized by a Western overseas colonial power"
"51" 20 1990 "Canada" "CAN" 10 102 1 NA 0.541819095611572 52.4599990844727 0.576225340366364 "0" "2" 0.9689 0.0172 NA 1.85706103446092 "0. Never colonized by a Western overseas colonial power"
"52" 20 1991 "Canada" "CAN" 10 103 1 NA 0.541819095611572 52.4599990844727 0.576225340366364 "0" "2" 0.9693 0.0168 NA 1.806938517261 "0. Never colonized by a Western overseas colonial power"
